CODIGO;DESCRICAO;UNIDADE
08.01.03.454-7;LIVRO ARQUITETURA DE EXPOSIÇÕES;UN
08.05.08.037-0;CHAVEIRO PIPOCA LINA;UN
08.05.08.038-8;CHAVEIRO UNIFORME FUTEBOL LINA;UN
03.02.02.059-6;PAPEL HIGIENICO INTERFOLHADO;CX
08.05.08.038-8;CHAVEIRO UNIFORME FUTEBOL LINA;UN
08.05.08.037-0;CHAVEIRO PIPOCA LINA;UN
08.04.02.499-9;CAMISETA PIMA PRETA CADEIRA GB P;UN
08.04.02.500-0;CAMISETA PIMA PRETA CADEIRA GB M;UN
08.04.02.501-8;CAMISETA PIMA PRETA CADEIRA GB G;UN
08.04.02.502-6;CAMISETA PIMA PRETA CADEIRA GB GG;UN
08.04.02.503-4;CAMISETA PIMA PRETA CADEIRA GB EGG;UN
08.04.02.504-2;CAMISETA PIMA VINHO CADEIRA GB P;UN
08.04.02.505-0;CAMISETA PIMA VINHO CADEIRA GB M;UN
08.04.02.506-8;CAMISETA PIMA VINHO CADEIRA GB G;UN
08.04.02.507-6;CAMISETA PIMA VINHO CADEIRA GB GG;UN
08.04.02.508-4;CAMISETA PIMA VINHO CADEIRA GB EGG;UN
08.04.02.509-2;CAMISETA PIMA BEGE REVOADA JARDIM P;UN
08.04.02.510-7;CAMISETA PIMA BEGE REVOADA JARDIM M;UN
08.04.02.511-5;CAMISETA PIMA BEGE REVOADA JARDIM G;UN
08.04.02.512-3;CAMISETA PIMA BEGE REVOADA JARDIM GG;UN
08.04.02.513-1;CAMISETA PIMA BEGE REVOADA JARDIM EGG;UN
08.04.02.514-9;CAMISETA PIMA CINZA FABRICA LINA P;UN
08.04.02.515-7;CAMISETA PIMA CINZA FABRICA LINA M;UN
08.04.02.516-5;CAMISETA PIMA CINZA FABRICA LINA G;UN
08.04.02.517-3;CAMISETA PIMA CINZA FABRICA LINA GG;UN
08.04.02.518-1;CAMISETA PIMA CINZA FABRICA LINA EGG;UN
08.04.02.519-9;CAMISETA PIMA AZUL CADEIRA LINA P;UN
08.04.02.520-4;CAMISETA PIMA AZUL CADEIRA LINA M;UN
08.04.02.521-2;CAMISETA PIMA AZUL CADEIRA LINA  G;UN
08.04.02.522-0;CAMISETA PIMA AZUL CADEIRA LINA GG;UN
08.04.02.523-8;CAMISETA PIMA AZUL CADEIRA LINA EGG;UN
08.04.02.524-6;CAMISETA PIMA VERDE CADEIRA JARDIM P;UN
08.04.02.525-4;CAMISETA PIMA VERDE CADEIRA JARDIM M;UN
08.04.02.526-2;CAMISETA PIMA VERDE CADEIRA JARDIM G;UN
08.04.02.527-0;CAMISETA PIMA VERDE CADEIRA JARDIM GG;UN
08.04.02.528-8;CAMISETA PIMA VERDE CADEIRA JARDIM EGG;UN
08.01.03.457-1;LIVRO MUTAÇÕES:DISSONÂNCIAS DO PROGRESSO;UN
08.05.01.551-1;SACOLA RESPIRO PISCINA 24 DE MAIO;UN
08.05.01.552-9;BOLSA CARTEIRO PISCINA 24 DE MAIO;UN
08.05.01.554-5;NECESSAIRE RAMPA 24 DE MAIO;UN
08.01.07.126-4;BOX CDS PREME;UN
06.02.14.742-2;COLETE UNISSEX GG;UN
06.02.14.741-4;COLETE UNISSEX G;UN
06.02.14.740-6;COLETE UNISSEX M;UN
06.02.14.739-1;COLETE UNISSEX P;UN
06.02.14.738-3;COLETE UNISSEX PP;UN
06.02.14.745-6;COLETE UNISSEX PLUS SIZE P;UN
06.02.14.746-4;COLETE UNISSEX PLUS SIZE M;UN
06.02.14.747-2;COLETE UNISSEX PLUS SIZE G;UN
06.02.14.743-0;COLETE UNISSEX XG;UN
08.12.01.012-4;BICHO DE PANO COELHO MÔNICA NADOR;UN
08.05.12.269-3;NECESSAIRE NYLON;UN
08.05.01.557-9;NECESSAIRE LUZ DE CARVAO E JARDIM;UN
08.01.03.458-9;LIVRO ECOS DO BRASIL: EÇA DE QUEIRÓS....;UN
06.02.11.352-0;CALÇA ELETRICISTA P;UN
06.02.11.346-5;CAMISA ML ELETRICISTA P;UN
06.02.11.347-3;CAMISA ML ELETRICISTA M;UN
06.02.11.354-6;CALÇA ELETRICISTA G;UN
06.02.11.356-2;CALÇA ELETRICISTA EG;UN
